Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2022.10.19 10:58:14;Sell;0.1;XAUUSD;1644.89;0.1;2022.10.19 11:25:10;1640.14;;;47.5
2022.10.18 15:39:31;Buy;0.1;GBPUSD;1.13387;0.1;2022.10.19 11:03:30;1.12729;;-0.44;-65.8
2022.10.19 03:37:50;Buy;0.1;XAUUSD;1652.18;0.1;2022.10.19 10:04:00;1638.9;;;-132.8
2022.10.18 16:09:53;Buy;0.1;XAUUSD;1655.19;0.1;2022.10.18 18:40:21;1645.88;;;-93.1
2022.10.18 13:18:28;Buy;0.1;GBPUSD;1.12912;0.1;2022.10.18 14:45:27;1.13089;;;17.7
2022.10.18 05:40:57;Buy;0.1;XAUUSD;1651.25;0.1;2022.10.18 07:26:52;1657.22;;;59.7
2022.10.17 13:11:59;Buy;0.1;GBPUSD;1.13134;0.1;2022.10.17 16:02:57;1.13459;;;32.5
2022.10.17 13:25:21;Buy;0.1;XAUUSD;1656.84;0.1;2022.10.17 16:02:31;1666.47;;;96.3
2022.10.17 12:01:02;Buy;0.1;GBPUSD;1.1268799999999999;0.1;2022.10.17 13:10:40;1.13157;;;46.9
2022.10.17 05:42:13;Sell;0.1;GBPUSD;1.12295;0.1;2022.10.17 08:51:21;1.1278;;;-48.5
2022.10.17 04:06:19;Buy;0.1;GBPUSD;1.1227800000000001;0.1;2022.10.17 05:38:16;1.1226;;;-1.8
2022.10.17 04:05:33;Buy;0.1;XAUUSD;1648.28;0.1;2022.10.17 05:04:06;1651.88;;;36
2022.10.14 17:07:45;Buy;0.1;XAUUSD;1652.19;0.1;2022.10.14 18:02:18;1650.19;;;-20
2022.10.14 17:08:09;Buy;0.1;GBPUSD;1.11891;0.1;2022.10.14 18:01:27;1.126;;;70.9
2022.10.14 13:01:25;Sell;0.1;XAUUSD;1653.01;0.1;2022.10.14 16:50:35;1651.14;;;18.7
2022.10.14 13:02:25;Sell;0.1;GBPUSD;1.12431;0.1;2022.10.14 15:09:45;1.1206;;;37.1
2022.10.14 11:12:21;Sell;0.1;GBPUSD;1.12886;0.1;2022.10.14 12:01:54;1.12723;;;16.3
2022.10.14 06:42:47;Balance;;;;;;;;;5100
2022.10.13 12:31:44;Sell;0.1;XAUUSD;1676.16;0.1;2022.10.13 15:30:09;1663.46;;;127
2022.10.13 12:31:38;Sell;0.1;EURUSD;0.97365;0.1;2022.10.13 15:30:05;0.96903;;;46.2
2022.10.13 12:31:46;Sell;0.1;GBPUSD;1.11493;0.1;2022.10.13 14:35:42;1.12353;;;-86
2022.10.12 12:28:23;Buy;0.1;EURUSD;0.97082;0.1;2022.10.13 03:37:32;0.9719;;-1.9100000000000001;10.8
2022.10.12 17:00:09;Buy;0.1;XAUUSD;1671.23;0.1;2022.10.13 03:37:22;1674.75;;-0.64;35.2
2022.10.12 15:32:57;Buy;0.1;GBPUSD;1.10369;0.1;2022.10.12 18:34:56;1.10754;;;38.5
2022.10.12 07:27:01;Buy;0.1;XAUUSD;1669;0.1;2022.10.12 09:31:50;1673.36;;;43.6
2022.10.12 07:11:22;Buy;0.1;GBPUSD;1.10051;0.1;2022.10.12 09:31:48;1.10082;;;3.1
2022.10.11 03:59:03;Sell;0.1;GBPUSD;1.10867;0.1;2022.10.11 04:43:40;1.10568;;;29.9
2022.10.10 15:45:25;Sell;0.1;XAUUSD;1676.46;0.1;2022.10.10 16:41:02;1673.39;;;30.7
2022.10.10 16:06:50;Sell;0.1;GBPUSD;1.10684;0.1;2022.10.10 16:41:00;1.10513;;;17.1
2022.10.10 10:45:25;Sell;0.1;GBPUSD;1.108;0.1;2022.10.10 12:23:29;1.10742;;;5.8
